,Close,Open,Low,High,Volume,sentiment_rolling_7,sentiment_rolling_14,sentiment_rolling_30,sentiment_score
0,310.4166564941406,311.7366638183594,301.6666564941406,314.5666809082031,73138200.0,-0.055979769092615,-0.05615786208377464,-0.056577237091815814,0.1915748228008548
1,301.88665771484375,309.3933410644531,296.4700012207031,310.5,66792900.0,-0.055979769092615,-0.05615786208377464,-0.056577237091815814,0.1420813135337084
2,297.0466613769531,294.0,293.50665283203125,312.3333435058594,78855600.0,-0.055979769092615,-0.05615786208377464,-0.056577237091815814,-0.0114180996481861
3,307.7733459472656,299.0733337402344,293.72332763671875,312.1666564941406,73625400.0,-0.055979769092615,-0.05615786208377464,-0.056577237091815814,-0.1156703556577364
4,302.4466552734375,307.92999267578125,300.9033203125,315.92333984375,60994500.0,-0.055979769092615,-0.05615786208377464,-0.056577237091815814,-0.1263337216805666
5,307.3333435058594,301.84332275390625,298.26666259765625,308.7633361816406,50729100.0,-0.055979769092615,-0.05615786208377464,-0.056577237091815814,0.0777601219092806
6,310.6666564941406,311.6666564941406,306.6666564941406,315.42333984375,52259400.0,0.03405125580956132,-0.05615786208377464,-0.056577237091815814,0.0803647094095746
7,301.51666259765625,302.7900085449219,298.8999938964844,314.60333251953125,66126900.0,0.0016913226635720119,-0.05615786208377464,-0.056577237091815814,-0.0349447092210704
8,286.6666564941406,303.2099914550781,283.5666809082031,305.32000732421875,79645800.0,-0.07514299489261123,-0.05615786208377464,-0.056577237091815814,-0.3957589093595743
9,291.9200134277344,287.19000244140625,284.3833312988281,299.6266784667969,67756500.0,-0.0893801740727496,-0.05615786208377464,-0.056577237091815814,-0.1110783539091547
10,307.4766540527344,300.0,297.7933349609375,307.6666564941406,57286200.0,-0.07489833551967008,-0.05615786208377464,-0.056577237091815814,-0.0142974857861797
11,307.7966613769531,304.6833190917969,300.4033203125,308.80999755859375,51294300.0,-0.07808227444841684,-0.05615786208377464,-0.056577237091815814,-0.1486212941817939
12,292.1166687011719,304.4200134277344,291.3666687011719,306.1666564941406,55178400.0,-0.08627038910073828,-0.05615786208377464,-0.056577237091815814,0.0204433193430304
13,285.6600036621094,295.3333435058594,279.2033386230469,295.6233215332031,68501700.0,-0.08301502617995267,-0.024481885185195666,-0.056577237091815814,0.103152249855074
14,273.84332275390625,278.0433349609375,267.0333251953125,285.57666015625,83288100.0,-0.0653768786996368,-0.03184277801803239,-0.056577237091815814,0.0885223231411406
15,254.67999267578125,276.80999755859375,253.52000427246094,278.4333190917969,95256900.0,0.0033669742019722016,-0.035888010345319514,-0.056577237091815814,0.0854480609516887
16,266.92333984375,233.4633331298828,233.3333282470703,267.49334716796875,135322200.0,0.0057401252285496735,-0.04182002442209997,-0.056577237091815814,-0.0944662967231124
