date,sentiment_score
2022-02-01,0.1915748228008548
2022-02-02,0.1420813135337084
2022-02-03,-0.0114180996481861
2022-02-04,-0.1156703556577364
2022-02-05,0.8842067383229733
2022-02-06,-0.0869858928024768
2022-02-07,-0.1263337216805666
2022-02-08,0.0777601219092806
2022-02-09,0.0803647094095746
2022-02-10,-0.0349447092210704
2022-02-11,-0.3957589093595743
2022-02-12,0.0942177064716816
2022-02-13,-0.2108217063359916
2022-02-14,-0.1110783539091547
2022-02-15,-0.0142974857861797
2022-02-16,-0.1486212941817939
2022-02-17,0.0204433193430304
2022-02-18,0.103152249855074
2022-02-19,-0.0943003017455339
2022-02-20,0.2270878301933407
2022-02-21,0.1902549209383627
2022-02-22,0.0885223231411406
2022-02-23,0.0854480609516887
2022-02-24,-0.0944662967231124
2022-02-25,0.0649916591743628
2022-02-26,0.1537789483554661
2022-02-27,-0.7923637330532074
2022-02-28,-0.1465285991111563
2022-03-01,-0.0284745469689369
2022-03-02,0.1680097337812185
2022-03-03,0.2115851401661833
2022-03-04,0.0350466524916035
2022-03-05,0.1103149994742125
2022-03-06,0.053256906196475
2022-03-07,-0.3461281799245626
2022-03-08,-0.1335121827820936
2022-03-09,0.1032347256550565
2022-03-10,-0.1059545538284712
2022-03-11,0.0636205065529793
2022-03-12,0.0527122132480144
2022-03-13,-0.1995496947318315
2022-03-14,-0.0272323339246213
2022-03-15,0.0646290945199628
2022-03-16,-0.0862987783427039
2022-03-17,-0.2998028793372214
2022-03-18,-0.3568656694454451
2022-03-19,-0.1024833095725625
2022-03-20,0.4569163204481204
2022-03-21,0.0952960044766465
2022-03-22,0.08378025254404
2022-03-23,0.3294759042827146
2022-03-24,0.2457441445440054
2022-03-25,-0.0138469994068145
2022-03-26,-0.1881166398525238
2022-03-27,0.0147904753684997
2022-03-28,0.0563638208300939
2022-03-29,0.198422915556214
2022-03-30,-0.0729237360541116
2022-03-31,0.096461623829479
2022-04-01,0.3286725374766522
2022-04-02,0.2786780642345547
2022-04-03,0.2704983353614807
2022-04-04,-0.2152862410460199
2022-04-05,0.0579829017321268
2022-04-06,0.2463734814897179
2022-04-07,-0.125138048431836
2022-04-08,0.1921602484237934
2022-04-09,0.0347456604242324
2022-04-10,-0.2388693555258214
2022-04-11,-0.12847546543926
2022-04-12,0.0452469519029061
2022-04-13,0.1272357751304904
2022-04-14,0.0411642163060605
2022-04-15,0.0975623629832019
2022-04-16,-0.1585651507601141
2022-04-17,-0.0914022661745548
2022-04-18,-0.0190476928172366
2022-04-19,0.1154184088227339
2022-04-20,0.0594855532205353
2022-04-21,0.0812860577808399
2022-04-22,-0.0315038084107286
2022-04-23,0.153062379120716
2022-04-24,0.1374321859329939
2022-04-25,-0.0081094733693382
2022-04-26,-0.1351969913646046
2022-04-27,0.2163114054128527
2022-04-28,-0.1781383671869452
2022-04-29,-0.172366203607193
2022-04-30,0.079716719686985
2022-05-01,0.1235241445712745
2022-05-02,0.0008278825719441
2022-05-03,0.1340040308846668
2022-05-04,0.0564300670133282
2022-05-05,-0.1502647724171931
2022-05-06,0.1212238471955061
2022-05-07,0.1871207429096102
2022-05-08,-0.0532044076826423
2022-05-09,-0.2192269493160503
2022-05-10,-0.1932497893770536
2022-05-11,0.0481387117345418
2022-05-12,0.1033048353468378
2022-05-13,0.0727629133810599
2022-05-14,-0.4683887250721454
2022-05-15,0.185291263833642
2022-05-16,0.1630953795143536
2022-05-17,-0.108760023320263
2022-05-18,-0.316637564394623
2022-05-19,-0.3412596832445644
2022-05-20,-0.3805398046679329
2022-05-21,-0.2077106048486062
2022-05-22,-0.2253123361151665
2022-05-23,-0.1290283262313
2022-05-24,-0.0192659418456829
2022-05-25,0.0699598002912742
2022-05-26,-0.1600246996385976
2022-05-27,-0.043579231446179
2022-05-28,-0.2323683761060238
2022-05-29,0.0736450015877683
2022-05-30,-0.3195461627328768
2022-05-31,-0.0752925001084804
2022-06-01,-0.2595745837315917
2022-06-02,-0.1789871183438943
2022-06-03,-0.5876910506561398
2022-06-04,-0.4495803423758064
2022-06-05,0.5314059108495712
2022-06-06,-0.2591603006320921
2022-06-07,-0.1824718866264447
2022-06-08,-0.3938508037743823
2022-06-09,-0.1771019151201471
2022-06-10,0.0554656728303858
2022-06-11,0.0567616783082485
2022-06-12,0.0997866755351424
2022-06-13,0.1374401717700741
2022-06-14,0.0913670917507261
2022-06-15,-0.0303704101084308
2022-06-16,0.0792394730855118
2022-06-17,-0.2785634852945804
2022-06-18,-0.0179344560950994
2022-06-19,-0.24216522090137
2022-06-20,-0.3006318347528577
2022-06-21,-0.0109850125653403
2022-06-22,0.1252986554754898
2022-06-23,0.0479800599361104
2022-06-24,0.1482118482235819
2022-06-25,0.0938787658233195
2022-06-26,0.2311341499444097
2022-06-27,0.129180580493994
2022-06-28,0.2249980586348101
2022-06-29,0.0638188138338071
2022-06-30,-0.2477518810968225
2022-07-01,-0.2176753506064415
2022-07-02,-0.3209509290754795
2022-07-03,0.0977838604400555
2022-07-04,-0.2972919107414782
2022-07-05,-0.3507124817619721
2022-07-06,-0.1781652024947106
2022-07-07,-0.0342509236393703
2022-07-08,-0.2126127504743635
2022-07-09,-0.2823536545038223
2022-07-10,-0.1417249363536636
2022-07-11,-0.3543333782710963
2022-07-12,0.1763069426640868
2022-07-13,0.1042399204928766
2022-07-14,0.1053450669028929
2022-07-15,0.0057198411474625
2022-07-16,0.0812859555706381
2022-07-17,-0.8769925758242607
2022-07-18,-0.1025299933739006
2022-07-19,-0.0006713766811622
2022-07-20,-0.0235295880120247
2022-07-21,0.1725657448172569
2022-07-22,-0.0316091053453939
2022-07-23,-0.2682611744850874
2022-07-24,-0.3025855263695121
2022-07-25,0.1179549778462387
2022-07-26,0.1018842114911725
2022-07-27,0.0608015942520328
2022-07-28,0.1977285959113102
2022-07-29,0.2576184531673789
2022-07-30,-0.1288572687655687
2022-07-31,-0.0849917851802375
2022-08-01,-0.180220744838672
2022-08-02,0.1344525413587689
2022-08-03,-0.1686034074518829
2022-08-04,0.0588502060621976
2022-08-05,0.2459670846971372
2022-08-06,0.0423361559708913
2022-08-07,0.00479227444157
2022-08-08,0.1617863006316698
2022-08-09,0.0503513161092996
2022-08-10,0.0458075843052938
2022-08-11,-0.0751130491909053
2022-08-12,0.0422058643640152
2022-08-13,0.2761226617731154
2022-08-14,0.1007590014487505
2022-08-15,-0.0389430468074149
2022-08-16,0.1283454596996307
2022-08-17,-0.069874923385214
2022-08-18,-0.1534711683169007
2022-08-19,0.1401781001128256
2022-08-20,-0.5354446383814017
2022-08-21,-0.1017851394911607
2022-08-22,-0.2709444048038373
2022-08-23,-0.2728098455647176
2022-08-24,-0.0996141035109758
2022-08-25,-0.0382944621036157
2022-08-26,0.0760694756560648
2022-08-27,0.0761100075906142
2022-08-28,-0.1802077379077672
2022-08-29,0.057042721494594
2022-08-30,-0.0766156949102878
2022-08-31,-0.0586826699630667
2022-09-01,0.0698723971145227
2022-09-02,0.1397285921765225
2022-09-03,0.0720663182437419
2022-09-04,0.1079591228626668
2022-09-05,-0.1237931265030056
2022-09-06,0.3281498254192146
2022-09-07,0.3975112086161971
2022-09-08,0.3030797112733125
2022-09-09,-0.0825713349506259
2022-09-10,0.0088087937328964
2022-09-11,0.0295553989708423
2022-09-12,0.0107749167031475
2022-09-13,0.2294886918653818
2022-09-14,0.2717832584865391
2022-09-15,0.1769470427340517
2022-09-16,0.1665853721917503
2022-09-17,-0.0895848575358589
2022-09-18,0.0
2022-09-19,0.1940926110061506
2022-09-20,-0.0692711701420576
2022-09-21,-0.3640715440269559
2022-09-22,0.2055644392967224
2022-09-23,0.2282498944550752
2022-09-24,0.1008787145838141
2022-09-25,-0.5204637944698334
2022-09-26,-0.0985223645610468
2022-09-27,0.3819580078125
2022-09-28,-0.0741795223827163
2022-09-29,0.0854037337537322
2022-09-30,-0.0248807422130515
2022-10-01,0.0059589355951175
2022-10-02,0.1776205183938145
2022-10-03,0.0585420187562704
2022-10-04,-0.1938911871984601
2022-10-05,-0.1825254817626306
2022-10-06,-0.2360651383309492
2022-10-07,-0.2368563545557359
2022-10-08,-0.7061050534248352
2022-10-09,0.2164886200334876
2022-10-10,0.0568476029568248
2022-10-11,-0.0435223036135236
2022-10-12,-0.003665012307465
2022-10-13,0.2618359982346495
2022-10-14,-0.0550413366614116
2022-10-15,-0.2021311083808541
2022-10-16,-0.0286267823539674
2022-10-17,0.1022066020717223
2022-10-18,0.2505863037788206
2022-10-19,0.0459655026735907
2022-10-20,-0.2488423250615596
2022-10-21,0.0903436860535293
2022-10-22,0.1082254247739911
2022-10-23,0.0
2022-10-24,-0.4199903988175922
2022-10-25,0.0004404814292987
2022-10-26,-0.2338283117860555
2022-10-27,-0.0912820806261152
2022-10-28,-0.4276256418476502
2022-10-29,-0.339656987041235
2022-10-30,0.0
2022-10-31,-0.2082454570465617
2022-11-01,-0.0377745047832528
2022-11-02,-0.194430000813944
2022-11-03,-0.2625593404906491
2022-11-04,0.031871580829223
2022-11-05,-0.4589092289097607
2022-11-06,-0.0885569591607366
2022-11-07,0.3410089281387627
2022-11-08,-0.3732169371630464
2022-11-09,-0.4102638074507316
2022-11-10,0.1972031736125548
2022-11-11,-0.0139350990764796
2022-11-12,-0.0205452069640159
2022-11-13,-0.2153826048597693
2022-11-14,0.040373767326985
2022-11-15,-0.0728385640929142
2022-11-16,-0.0615718119185079
2022-11-17,0.3563169145749675
2022-11-18,0.1597513744607567
2022-11-19,-0.0140428803861141
2022-11-20,0.1658415978308767
2022-11-21,0.0489258632684747
2022-11-22,-0.5250360515201464
2022-11-23,-0.0398650988936424
2022-11-24,-0.2402662839740514
2022-11-25,-0.4668054657056927
2022-11-26,0.0032827584072947
2022-11-27,0.1928339081350714
2022-11-28,-0.1134837178513407
2022-11-29,-0.7165194437839091
2022-11-30,-0.2633687804707072
2022-12-01,0.0301730827513066
2022-12-02,0.0026969137415289
2022-12-03,0.0280722635132925
2022-12-04,-0.1083106926331917
2022-12-05,-0.1362845451674527
2022-12-06,-0.374218500033021
2022-12-07,-0.3514064677292481
2022-12-08,-0.0416323544923216
2022-12-09,-0.1667950648814439
2022-12-10,-0.9321853201836348
2022-12-11,-0.0325474115088582
2022-12-12,-0.3292302581378155
2022-12-13,-0.2501224486955574
2022-12-14,-0.4209881496468657
2022-12-15,-0.3541383039647419
2022-12-16,-0.3460586237100263
2022-12-17,0.3518014701704184
2022-12-18,0.049304524436593
2022-12-19,-0.061674366123043
2022-12-20,-0.1669169050426437
2022-12-21,-0.3793427871229748
2022-12-22,-0.1555634651235059
2022-12-23,-0.4009116481058299
